section|subsection|polity_name|polity_new_ID|polity_old_ID|variable_name|value_from|value_to|year_from|year_to|confidence|is_disputed|is_uncertain|expert_checked
General Variables|Identity and Location|Elam I|ir_neo_elam_1|IrNElm1|alternative_name|Elam - Neo-Elamite I||||Confident|False|False|True
General Variables|Identity and Location|Elam III|ir_neo_elam_3|IrNElm3|alternative_name|Elam - Neo-Elamite III||||Confident|False|False|True
General Variables|Identity and Location|Satavahana Empire|in_satavahana_emp|InSataL|alternative_name|Late Satavahanas||||Confident|False|False|True
General Variables|Identity and Location|Abbasid Caliphate I|iq_abbasid_cal_1|IqAbbs1|alternative_name|Abbasid Caliphate||||Confident|False|False|True
General Variables|Identity and Location|Abbasid Caliphate I|iq_abbasid_cal_1|IqAbbs1|alternative_name|al-Khilafah al-Abbasiyyah||||Confident|False|False|True
General Variables|Identity and Location|Amorite Babylonia|iq_babylonia_1|IqBabAm|alternative_name|Amurru||||Confident|False|False|True
General Variables|Identity and Location|Hawaii II|us_hawaii_2|Hawaii2|alternative_name|Big Island||||Confident|False|False|True
General Variables|Identity and Location|Hawaii II|us_hawaii_2|Hawaii2|alternative_name|Owyhee||||Confident|False|False|True
General Variables|Identity and Location|Hawaii II|us_hawaii_2|Hawaii2|alternative_name|Owhyhee||||Confident|False|False|True
General Variables|Identity and Location|Hawaii III|us_hawaii_3|Hawaii3|alternative_name|Big Island||||Confident|False|False|True
General Variables|Identity and Location|Hawaii III|us_hawaii_3|Hawaii3|alternative_name|Owyhee||||Confident|False|False|True
General Variables|Identity and Location|Hawaii III|us_hawaii_3|Hawaii3|alternative_name|Owhyhee||||Confident|False|False|True
General Variables|Identity and Location|Yisrael|il_yisrael|IlYisrl|alternative_name|Northern Kingdom||||Confident|False|False|True
General Variables|Identity and Location|Yisrael|il_yisrael|IlYisrl|alternative_name|Northern Kingdom of Israel||||Confident|False|False|True
General Variables|Identity and Location|Ubaid|iq_ubaid|IqUbaid|alternative_name|Obeid||||Confident|False|False|True
General Variables|Identity and Location|Neo-Babylonian Empire|iq_neo_babylonian_emp|IqNeoBb|alternative_name|Chaldeans||||Confident|False|False|True
General Variables|Identity and Location|Neo-Babylonian Empire|iq_neo_babylonian_emp|IqNeoBb|alternative_name|Chaldean Empire||||Confident|False|False|True
General Variables|Identity and Location|Ur - Dynasty III|iq_ur_dyn_3|IqUrIII|alternative_name|Sumer Renaissance Period||||Confident|False|False|True
General Variables|Identity and Location|Ur - Dynasty III|iq_ur_dyn_3|IqUrIII|alternative_name|IIIrd dynasty of Ur||||Confident|False|False|True
General Variables|Identity and Location|Ur - Dynasty III|iq_ur_dyn_3|IqUrIII|alternative_name|Neo-Sumerian Empire||||Confident|False|False|True
General Variables|Identity and Location|Ur - Dynasty III|iq_ur_dyn_3|IqUrIII|alternative_name|Ur III||||Confident|False|False|True
